model,train_MAE,train_MSE,train_RMSE,train_MAPE,train_MaxError,train_R2,val_MAE,val_MSE,val_RMSE,val_MAPE,val_MaxError,val_R2,test_MAE,test_MSE,test_RMSE,test_MAPE,test_MaxError,test_R2
Naive Baseline,0.010098280098280099,0.0011506142506142506,0.033920705337805855,0.2575865984956894,0.49000000000000005,-2.0421807513910215,0.00411764705882353,5.686274509803921e-05,0.007540739028638984,0.08240740740740742,0.03,0.7991035044824777,0.0068932038834951465,0.0001271844660194175,0.011277609055975362,0.11779970299387778,0.049999999999999996,0.7966574235939478
Optimized XGBoost,0.005126821620787977,4.979505696952649e-05,0.00705656127086887,0.15068473126564447,0.03898077189922333,0.8683437444423768,0.0046188532502627845,4.430795908504663e-05,0.00665642239382738,0.09394542984212258,0.022217694818973538,0.8434596555552754,0.008479908579616871,0.00022785668018365348,0.015094922331156708,0.13085364398668867,0.07449464857578278,0.6357026463216017
Optimized CNN,0.006023506633937359,6.440235301852226e-05,0.008025107663983223,0.17253322899341583,0.03007294237613678,0.8297226428985596,0.005034351255744696,4.9079226300818846e-05,0.00700565673586844,0.11277363449335098,0.025530550628900528,0.8266027569770813,0.010900994762778282,0.00026714656269177794,0.016344618768627733,0.2048407644033432,0.06726209819316864,0.5728859901428223
Optimized TCN,0.005180804058909416,5.201276871957816e-05,0.007211987847991576,0.14844036102294922,0.04990260675549507,0.8624802231788635,0.005739124957472086,5.81563072046265e-05,0.007626028271953003,0.124107725918293,0.023613370954990387,0.794533371925354,0.011777826584875584,0.000288520532194525,0.01698589215185723,0.20032839477062225,0.08171238750219345,0.5387133359909058
